INFO 2025-08-14 16:52:19,169 basehttp 23916 27360 "GET /admin/custom_auth/user/1/change/ HTTP/1.1" 200 30677
INFO 2025-08-14 16:52:19,239 basehttp 23916 27360 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 16:52:19,260 basehttp 23916 20368 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-08-14 16:52:19,267 basehttp 23916 27828 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15845
INFO 2025-08-14 16:52:19,268 basehttp 23916 19068 "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2025-08-14 16:52:19,318 basehttp 23916 19068 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-08-14 16:52:19,409 basehttp 23916 19068 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2025-08-14 16:53:03,967 basehttp 23916 19068 "POST /admin/custom_auth/user/1/change/ HTTP/1.1" 302 0
INFO 2025-08-14 16:53:03,994 basehttp 23916 19068 "GET /admin/custom_auth/user/ HTTP/1.1" 200 20125
INFO 2025-08-14 16:53:04,111 basehttp 23916 19068 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 16:53:04,176 basehttp 23916 19068 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-08-14 16:53:06,317 basehttp 23916 19068 "GET /admin/custom_auth/user/1/change/ HTTP/1.1" 200 30724
INFO 2025-08-14 16:53:06,401 basehttp 23916 19068 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 16:53:16,627 basehttp 23916 19068 "GET /admin/authtoken/tokenproxy/ HTTP/1.1" 200 12340
INFO 2025-08-14 16:53:18,994 basehttp 23916 19068 "GET /admin/custom_auth/emailverificationtoken/ HTTP/1.1" 200 14453
INFO 2025-08-14 16:53:19,053 basehttp 23916 19068 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 16:53:21,028 basehttp 23916 19068 "GET /admin/custom_auth/passwordresettoken/ HTTP/1.1" 200 14433
INFO 2025-08-14 16:53:21,094 basehttp 23916 19068 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 16:53:22,719 basehttp 23916 19068 "GET /admin/custom_auth/user/ HTTP/1.1" 200 19890
INFO 2025-08-14 16:53:22,786 basehttp 23916 19068 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 16:53:32,424 basehttp 23916 19068 "GET /admin/custom_auth/user/add/ HTTP/1.1" 200 19196
INFO 2025-08-14 16:53:32,505 basehttp 23916 19068 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 16:53:41,850 basehttp 23916 19068 "GET /admin/custom_auth/user/ HTTP/1.1" 200 19890
INFO 2025-08-14 16:53:46,276 basehttp 23916 19068 "GET /admin/services/orderitem/ HTTP/1.1" 200 13179
INFO 2025-08-14 16:53:46,338 basehttp 23916 19068 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 16:53:47,578 basehttp 23916 19068 "GET /admin/services/orderitem/add/ HTTP/1.1" 200 41324
INFO 2025-08-14 16:53:47,650 basehttp 23916 19068 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 16:53:52,562 basehttp 23916 19068 "GET /admin/services/order/ HTTP/1.1" 200 14464
INFO 2025-08-14 16:53:52,633 basehttp 23916 19068 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 16:53:53,626 basehttp 23916 19068 "GET /admin/services/order/add/ HTTP/1.1" 200 36170
INFO 2025-08-14 16:53:53,712 basehttp 23916 19068 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 16:53:53,745 basehttp 23916 27828 "GET /static/admin/js/inlines.js HTTP/1.1" 200 15628
INFO 2025-08-14 16:53:53,779 basehttp 23916 27828 "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 392
INFO 2025-08-14 16:53:53,798 basehttp 23916 27828 "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
INFO 2025-08-14 16:54:15,334 basehttp 23916 27828 "GET /static/admin/img/inline-delete.svg HTTP/1.1" 200 537
INFO 2025-08-14 16:58:14,279 autoreload 25284 20260 Watching for file changes with StatReloader
INFO 2025-08-14 16:58:44,426 autoreload 23180 18096 Watching for file changes with StatReloader
WARNING 2025-08-14 16:58:46,316 log 23180 17844 Not Found: /
WARNING 2025-08-14 16:58:46,317 basehttp 23180 17844 "GET / HTTP/1.1" 404 5096
INFO 2025-08-14 16:58:49,687 basehttp 23180 17844 "GET /admin/ HTTP/1.1" 200 12456
INFO 2025-08-14 16:58:52,918 basehttp 23180 17844 "GET /admin/services/typeservice/ HTTP/1.1" 200 13908
INFO 2025-08-14 16:58:53,009 basehttp 23180 17844 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 17:53:27,131 autoreload 30976 1908 Watching for file changes with StatReloader
WARNING 2025-08-14 17:53:29,317 log 30976 31136 Not Found: /
WARNING 2025-08-14 17:53:29,319 basehttp 30976 31136 "GET / HTTP/1.1" 404 5096
INFO 2025-08-14 17:53:33,296 basehttp 30976 31136 "GET /admin/ HTTP/1.1" 200 12456
INFO 2025-08-14 17:53:35,648 basehttp 30976 31136 "GET /admin/services/typeservice/ HTTP/1.1" 200 21112
INFO 2025-08-14 17:53:35,738 basehttp 30976 31136 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 17:53:39,483 basehttp 30976 31136 "GET /admin/services/typeservice/1/change/ HTTP/1.1" 200 20425
INFO 2025-08-14 17:53:39,562 basehttp 30976 31136 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 17:54:08,527 basehttp 30976 31136 "POST /admin/services/typeservice/1/change/ HTTP/1.1" 302 0
INFO 2025-08-14 17:54:08,568 basehttp 30976 31136 "GET /admin/services/typeservice/ HTTP/1.1" 200 21336
INFO 2025-08-14 17:54:08,650 basehttp 30976 31136 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 17:54:15,674 basehttp 30976 31136 "GET /admin/services/typeservice/2/change/ HTTP/1.1" 200 20438
INFO 2025-08-14 17:54:15,738 basehttp 30976 31136 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 17:54:24,657 basehttp 30976 31136 "POST /admin/services/typeservice/2/change/ HTTP/1.1" 302 0
INFO 2025-08-14 17:54:24,694 basehttp 30976 31136 "GET /admin/services/typeservice/ HTTP/1.1" 200 21337
INFO 2025-08-14 17:54:24,783 basehttp 30976 31136 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 17:54:30,281 basehttp 30976 31136 "GET /admin/services/typeservice/4/change/ HTTP/1.1" 200 20419
INFO 2025-08-14 17:54:30,355 basehttp 30976 31136 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 17:54:38,093 basehttp 30976 31136 "POST /admin/services/typeservice/4/change/ HTTP/1.1" 302 0
INFO 2025-08-14 17:54:38,131 basehttp 30976 31136 "GET /admin/services/typeservice/ HTTP/1.1" 200 21333
INFO 2025-08-14 17:54:38,210 basehttp 30976 31136 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 18:00:41,172 basehttp 30976 8136 "GET /admin/services/typeservice/3/change/ HTTP/1.1" 200 20424
INFO 2025-08-14 18:00:41,300 basehttp 30976 8136 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-14 18:00:50,991 basehttp 30976 8136 "POST /admin/services/typeservice/3/change/ HTTP/1.1" 302 0
INFO 2025-08-14 18:00:51,025 basehttp 30976 8136 "GET /admin/services/typeservice/ HTTP/1.1" 200 21335
INFO 2025-08-14 18:00:51,156 basehttp 30976 8136 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
